ArrestID,CaseMasterID,AccusedID,PolicePersonID,PoliceStationID,ArrestDate,ArrestType,ArrestLocation,BailStatus,ArrestMemoPrepared,MedicalExamination,SeizedItems
1,265,522,456,150,2026-03-03 03:00:00,Arrest,Workplace,In Custody,Yes,Yes,No Seizure
2,370,738,99,13,2025-08-26 18:00:00,Arrest,Residence,In Custody,Yes,Yes,No Seizure
3,372,741,258,32,2026-02-03 22:00:00,Arrest,Village,Judicial Custody,No,No,Knife
4,333,661,169,109,2025-01-14 05:00:00,Arrest,Hotel,In Custody,Yes,No,Mobile Phone
5,202,412,418,145,2026-04-06 12:00:00,Arrest,Hotel,Judicial Custody,Yes,No,No Seizure
6,344,679,242,115,2025-03-31 12:00:00,Arrest,Workplace,On Bail,No,Yes,Mobile Phone
7,317,627,314,36,2025-10-18 21:00:00,Arrest,Workplace,On Bail,Yes,Yes,Documents
8,260,514,327,157,2026-05-24 14:00:00,Arrest,Hotel,In Custody,No,Yes,Laptop
9,434,860,296,107,2025-10-29 21:00:00,Arrest,City,Judicial Custody,Yes,Yes,Firearm
10,64,137,332,36,2026-05-09 08:00:00,Preventive Custody,Village,In Custody,No,Yes,Cash
11,410,812,322,177,2026-06-18 01:00:00,Surrender,Public Place,In Custody,Yes,No,Cash
12,37,77,381,119,2026-01-03 15:00:00,Arrest,Market Area,In Custody,Yes,Yes,No Seizure
13,323,637,130,174,2026-06-26 08:00:00,Surrender,Public Place,On Bail,No,No,Cash
14,488,974,179,151,2025-09-07 16:00:00,Arrest,Residence,On Bail,Yes,Yes,Documents
15,473,939,153,42,2025-03-05 02:00:00,Arrest,City,On Bail,No,Yes,Mobile Phone
16,453,900,218,82,2025-04-23 17:00:00,Surrender,Hotel,In Custody,No,Yes,Firearm
17,136,281,40,128,2024-09-11 23:00:00,Surrender,Workplace,On Bail,Yes,Yes,Laptop
18,446,884,217,140,2026-04-09 20:00:00,Arrest,Highway Checkpost,In Custody,Yes,Yes,Gold Jewellery
19,380,762,463,56,2026-02-24 00:00:00,Arrest,Hotel,On Bail,No,Yes,Knife
20,153,320,410,85,2025-08-30 18:00:00,Preventive Custody,Bus Stand,Judicial Custody,Yes,Yes,Vehicle
21,280,550,362,109,2026-03-16 15:00:00,Preventive Custody,Railway Station,In Custody,No,Yes,No Seizure
22,84,175,399,18,2025-08-11 23:00:00,Arrest,Workplace,In Custody,No,No,No Seizure
23,184,372,322,177,2025-07-05 03:00:00,Arrest,Bus Stand,In Custody,Yes,Yes,Knife
24,269,528,303,115,2024-08-07 22:00:00,Arrest,Highway Checkpost,In Custody,Yes,No,Mobile Phone
25,105,211,126,35,2026-01-01 07:00:00,Arrest,Market Area,In Custody,Yes,No,Cash
26,114,236,427,181,2026-08-20 15:00:00,Surrender,Highway Checkpost,In Custody,No,No,Documents
27,49,102,342,56,2025-06-03 14:00:00,Surrender,Residence,Judicial Custody,Yes,Yes,Documents
28,495,987,117,137,2026-02-25 10:00:00,Surrender,Bus Stand,In Custody,Yes,No,Vehicle
29,455,903,162,2,2025-12-18 05:00:00,Arrest,Highway Checkpost,On Bail,Yes,No,No Seizure
30,478,948,487,141,2026-04-13 01:00:00,Arrest,Village,On Bail,Yes,Yes,Vehicle
31,172,347,470,39,2025-08-19 15:00:00,Arrest,Public Place,On Bail,Yes,No,Knife
32,65,140,10,123,2026-03-23 08:00:00,Preventive Custody,Market Area,In Custody,No,Yes,Cash
33,315,622,140,98,2026-05-28 06:00:00,Preventive Custody,City,Judicial Custody,Yes,No,Knife
34,253,500,98,131,2025-06-24 18:00:00,Arrest,Village,In Custody,Yes,Yes,Mobile Phone
35,183,371,161,52,2024-12-17 02:00:00,Arrest,Highway Checkpost,Judicial Custody,Yes,Yes,Mobile Phone
36,99,199,205,151,2026-05-27 21:00:00,Arrest,Village,In Custody,No,Yes,Gold Jewellery
37,347,688,92,113,2025-03-11 08:00:00,Arrest,Workplace,Judicial Custody,Yes,Yes,Firearm
38,298,585,312,146,2024-12-03 18:00:00,Preventive Custody,Bus Stand,Judicial Custody,No,Yes,Gold Jewellery
39,455,902,162,2,2026-02-14 02:00:00,Surrender,Hotel,In Custody,No,No,No Seizure
40,29,60,225,140,2025-10-02 21:00:00,Surrender,Workplace,On Bail,Yes,Yes,Laptop
41,160,329,248,22,2024-09-26 03:00:00,Surrender,Railway Station,In Custody,Yes,No,Cash
42,47,97,414,110,2025-05-06 20:00:00,Surrender,Village,Judicial Custody,Yes,Yes,Documents
43,150,313,411,111,2026-10-24 08:00:00,Arrest,Hotel,On Bail,No,Yes,Firearm
44,489,975,117,137,2025-12-10 22:00:00,Arrest,Residence,In Custody,Yes,Yes,Gold Jewellery
45,143,300,67,63,2026-06-26 17:00:00,Arrest,Railway Station,In Custody,No,Yes,Gold Jewellery
46,135,278,155,60,2025-08-03 21:00:00,Arrest,Bus Stand,In Custody,No,Yes,Cash
47,465,925,285,106,2025-02-18 05:00:00,Preventive Custody,Railway Station,On Bail,Yes,Yes,Gold Jewellery
48,306,602,210,54,2025-06-10 13:00:00,Surrender,Highway Checkpost,In Custody,Yes,No,Knife
49,219,440,409,65,2025-06-11 15:00:00,Arrest,Market Area,In Custody,Yes,Yes,Knife
50,422,838,288,13,2025-03-04 06:00:00,Arrest,Workplace,On Bail,No,No,No Seizure
51,290,571,254,80,2024-09-15 21:00:00,Preventive Custody,Village,In Custody,Yes,Yes,Laptop
52,445,880,138,79,2025-10-30 18:00:00,Preventive Custody,Workplace,In Custody,No,No,Gold Jewellery
53,124,262,317,86,2024-09-17 19:00:00,Preventive Custody,Bus Stand,In Custody,Yes,No,Knife
54,295,579,293,55,2025-11-23 13:00:00,Arrest,Village,Judicial Custody,Yes,No,Documents
