CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,Latitude,Longitude,BriefFacts
1,FIR202600001,CASE202600001,2024-08-10,454,78,1,1,10,29,1,22,2024-08-10 05:21:12,2024-08-10 06:26:12,2024-08-10 06:58:12,15.921561,75.646712,
2,FIR202600002,CASE202600002,2025-02-06,438,172,2,2,12,36,5,50,2025-02-06 08:33:15,2025-02-06 15:47:15,2025-02-06 16:49:15,18.171835,78.269224,
3,FIR202600003,CASE202600003,2024-12-31,380,122,2,2,12,35,3,36,2024-12-31 00:31:56,2024-12-31 05:40:56,2024-12-31 06:12:56,15.004819,74.441718,
4,FIR202600004,CASE202600004,2026-01-05,57,14,3,2,14,41,5,7,2026-01-04 19:35:10,2026-01-05 01:26:10,2026-01-05 01:36:10,11.710515,74.497,
5,FIR202600005,CASE202600005,2025-11-23,240,95,4,1,2,6,3,27,2025-11-22 18:02:31,2025-11-23 05:41:31,2025-11-23 07:39:31,18.4142,76.980182,
6,FIR202600006,CASE202600006,2026-04-27,316,132,1,2,11,31,3,38,2026-04-27 00:01:13,2026-04-27 02:55:13,2026-04-27 03:29:13,15.920608,77.6343,
7,FIR202600007,CASE202600007,2024-09-24,426,87,3,2,3,8,3,23,2024-09-23 20:11:02,2024-09-24 00:53:02,2024-09-24 01:32:02,13.376384,78.294135,
8,FIR202600008,CASE202600008,2025-05-23,233,90,2,2,9,27,2,25,2025-05-23 04:32:56,2025-05-23 08:01:56,2025-05-23 08:54:56,12.765578,77.375041,
9,FIR202600009,CASE202600009,2024-08-13,201,77,2,2,11,32,1,21,2024-08-13 16:07:07,2024-08-13 20:59:07,2024-08-13 21:08:07,18.369887,77.941459,
10,FIR202600010,CASE202600010,2024-12-28,123,118,3,2,4,12,4,34,2024-12-27 17:27:44,2024-12-28 01:23:44,2024-12-28 02:50:44,14.473992,76.676455,
11,FIR202600011,CASE202600011,2025-07-22,176,3,3,2,12,36,4,1,2025-07-22 07:14:25,2025-07-22 17:39:25,2025-07-22 18:30:25,15.969047,74.113851,
12,FIR202600012,CASE202600012,2024-08-11,439,114,4,1,2,4,1,33,2024-08-11 07:43:36,2024-08-11 11:23:36,2024-08-11 11:48:36,12.490679,77.439156,
13,FIR202600013,CASE202600013,2024-12-13,313,169,4,1,10,29,5,50,2024-12-13 11:05:04,2024-12-13 16:40:04,2024-12-13 18:35:04,18.218091,78.185949,
14,FIR202600014,CASE202600014,2025-11-03,99,13,3,1,13,39,3,6,2025-11-03 10:22:09,2025-11-03 12:40:09,2025-11-03 13:40:09,11.716088,74.443388,
15,FIR202600015,CASE202600015,2025-08-20,138,79,3,2,9,25,5,22,2025-08-19 19:44:45,2025-08-19 22:39:45,2025-08-20 00:04:45,15.950609,75.659114,
16,FIR202600016,CASE202600016,2024-12-29,297,23,2,2,3,8,2,8,2024-12-29 00:37:58,2024-12-29 10:26:58,2024-12-29 11:38:58,15.404366,77.330858,
17,FIR202600017,CASE202600017,2025-09-21,251,147,1,2,15,44,3,43,2025-09-20 18:10:43,2025-09-20 22:13:43,2025-09-20 22:48:43,16.753036,77.515859,
18,FIR202600018,CASE202600018,2026-02-26,304,145,4,2,14,40,5,42,2026-02-26 09:09:44,2026-02-26 12:17:44,2026-02-26 13:46:44,17.560041,73.99443,
19,FIR202600019,CASE202600019,2024-07-28,453,45,4,2,4,12,2,14,2024-07-27 21:15:10,2024-07-28 09:34:10,2024-07-28 10:30:10,15.608945,77.735466,
20,FIR202600020,CASE202600020,2026-02-23,322,177,4,1,2,4,2,51,2026-02-23 18:43:08,2026-02-23 21:04:08,2026-02-23 21:11:08,11.651645,78.300677,
21,FIR202600021,CASE202600021,2025-12-08,472,139,1,1,2,6,1,41,2025-12-08 04:46:14,2025-12-08 08:50:14,2025-12-08 10:50:14,14.160861,78.571263,
22,FIR202600022,CASE202600022,2025-03-25,75,24,2,1,5,15,4,8,2025-03-25 08:19:41,2025-03-25 12:53:41,2025-03-25 13:14:41,15.441998,77.257414,
23,FIR202600023,CASE202600023,2024-11-12,151,123,4,1,13,38,2,36,2024-11-12 05:21:22,2024-11-12 07:27:22,2024-11-12 08:56:22,15.062855,74.446069,
24,FIR202600024,CASE202600024,2026-06-13,190,153,1,2,11,33,1,45,2026-06-12 20:32:54,2026-06-12 21:57:54,2026-06-12 23:35:54,12.596715,73.961883,
25,FIR202600025,CASE202600025,2025-03-22,383,152,2,2,4,12,4,45,2025-03-22 17:06:38,2025-03-22 20:33:38,2025-03-22 21:01:38,12.565089,74.066069,
26,FIR202600026,CASE202600026,2024-09-28,396,146,1,1,8,24,1,43,2024-09-28 00:35:45,2024-09-28 02:16:45,2024-09-28 03:30:45,16.807229,77.540622,
27,FIR202600027,CASE202600027,2024-10-01,35,59,2,2,3,8,4,17,2024-09-30 21:15:09,2024-10-01 05:28:09,2024-10-01 07:23:09,13.362878,74.195166,
28,FIR202600028,CASE202600028,2026-03-26,138,79,1,1,7,20,4,22,2026-03-25 19:20:42,2026-03-26 00:47:42,2026-03-26 02:21:42,15.939821,75.657854,
29,FIR202600029,CASE202600029,2025-10-01,225,140,2,1,5,13,1,41,2025-10-01 04:13:12,2025-10-01 15:00:12,2025-10-01 16:14:12,14.189771,78.593815,
30,FIR202600030,CASE202600030,2026-02-24,272,97,4,2,9,27,2,28,2026-02-24 17:21:14,2026-02-24 18:53:14,2026-02-24 19:08:14,17.385003,77.553349,
31,FIR202600031,CASE202600031,2025-12-31,11,159,2,1,7,19,5,46,2025-12-30 23:03:04,2025-12-31 03:40:04,2025-12-31 05:01:04,12.633604,74.012168,
32,FIR202600032,CASE202600032,2025-08-14,192,127,3,2,15,44,2,38,2025-08-13 13:04:41,2025-08-14 00:49:41,2025-08-14 01:34:41,15.849241,77.657119,
33,FIR202600033,CASE202600033,2026-06-24,292,169,3,1,8,23,1,50,2026-06-24 07:31:48,2026-06-24 09:00:48,2026-06-24 10:24:48,18.23704,78.183472,
34,FIR202600034,CASE202600034,2025-04-22,255,143,2,2,9,26,2,42,2025-04-21 22:18:51,2025-04-22 05:14:51,2025-04-22 05:27:51,17.545473,74.028655,
35,FIR202600035,CASE202600035,2025-08-25,499,33,3,1,10,30,5,10,2025-08-24 22:30:03,2025-08-25 00:12:03,2025-08-25 02:01:03,15.616924,77.72387,
36,FIR202600036,CASE202600036,2026-03-13,63,45,2,1,5,13,1,14,2026-03-12 18:32:48,2026-03-13 07:07:48,2026-03-13 07:31:48,15.586857,77.721818,
37,FIR202600037,CASE202600037,2025-10-12,381,119,3,2,4,12,3,34,2025-10-11 20:01:34,2025-10-12 05:32:34,2025-10-12 06:09:34,14.488362,76.686431,
38,FIR202600038,CASE202600038,2026-04-05,32,112,3,2,1,1,3,33,2026-04-05 01:06:05,2026-04-05 04:46:05,2026-04-05 05:24:05,12.528917,77.401311,
39,FIR202600039,CASE202600039,2025-09-12,289,55,4,2,9,25,1,16,2025-09-12 04:10:32,2025-09-12 07:06:32,2025-09-12 08:39:32,12.220283,75.764296,
40,FIR202600040,CASE202600040,2025-12-13,210,54,2,1,7,19,1,16,2025-12-12 19:59:50,2025-12-13 01:22:50,2025-12-13 03:22:50,12.269342,75.725495,
41,FIR202600041,CASE202600041,2024-08-25,455,18,2,2,11,31,3,7,2024-08-25 05:15:09,2024-08-25 15:11:09,2024-08-25 17:07:09,11.725916,74.434909,
42,FIR202600042,CASE202600042,2025-01-03,233,90,2,2,14,40,2,25,2025-01-03 09:35:13,2025-01-03 16:36:13,2025-01-03 17:03:13,12.75315,77.361344,
43,FIR202600043,CASE202600043,2025-02-17,325,84,2,1,5,13,1,23,2025-02-16 16:50:13,2025-02-17 00:45:13,2025-02-17 00:54:13,13.363306,78.321551,
44,FIR202600044,CASE202600044,2024-09-18,176,3,4,2,6,17,2,1,2024-09-18 16:36:14,2024-09-18 20:37:14,2024-09-18 22:06:14,15.933115,74.122267,
45,FIR202600045,CASE202600045,2025-01-07,488,162,1,1,13,38,3,48,2025-01-06 22:11:15,2025-01-07 09:43:15,2025-01-07 10:39:15,15.051365,74.49197,
46,FIR202600046,CASE202600046,2024-10-04,468,133,1,1,2,5,2,38,2024-10-03 23:20:51,2024-10-04 09:36:51,2024-10-04 09:45:51,15.917298,77.606668,
47,FIR202600047,CASE202600047,2025-02-08,414,110,3,1,7,21,5,32,2025-02-08 11:27:56,2025-02-08 13:51:56,2025-02-08 15:51:56,12.99431,76.288852,
48,FIR202600048,CASE202600048,2025-10-24,81,47,4,2,1,3,5,12,2025-10-24 04:49:47,2025-10-24 16:35:47,2025-10-24 18:14:47,15.628726,77.68275,
49,FIR202600049,CASE202600049,2025-04-12,342,56,3,1,10,29,1,16,2025-04-12 01:22:56,2025-04-12 14:19:56,2025-04-12 15:02:56,12.221825,75.734968,
50,FIR202600050,CASE202600050,2025-04-16,443,34,4,2,12,35,5,14,2025-04-15 21:52:15,2025-04-16 01:04:15,2025-04-16 02:02:15,15.685031,77.734678,
51,FIR202600051,CASE202600051,2024-12-21,400,70,2,1,10,30,3,21,2024-12-21 03:34:28,2024-12-21 11:09:28,2024-12-21 13:00:28,18.400303,77.949347,
52,FIR202600052,CASE202600052,2025-02-01,196,167,3,1,8,23,4,49,2025-01-31 13:19:54,2025-02-01 00:32:54,2025-02-01 01:42:54,15.069583,74.93471,
53,FIR202600053,CASE202600053,2026-05-29,264,140,2,2,11,31,3,41,2026-05-29 01:03:39,2026-05-29 10:45:39,2026-05-29 12:11:39,14.165003,78.63949,
54,FIR202600054,CASE202600054,2025-11-02,127,115,2,2,11,32,2,33,2025-11-02 02:23:46,2025-11-02 06:32:46,2025-11-02 06:40:46,12.499485,77.449824,
55,FIR202600055,CASE202600055,2025-10-05,442,45,1,1,8,23,5,9,2025-10-05 01:40:49,2025-10-05 06:25:49,2025-10-05 07:59:49,15.599615,77.723819,
56,FIR202600056,CASE202600056,2024-11-23,484,168,1,2,15,43,4,49,2024-11-23 12:07:36,2024-11-23 16:18:36,2024-11-23 18:05:36,15.066401,74.917657,
57,FIR202600057,CASE202600057,2025-12-31,218,82,1,1,8,22,4,24,2025-12-30 12:35:24,2025-12-31 00:08:24,2025-12-31 01:24:24,13.330521,78.319264,
58,FIR202600058,CASE202600058,2024-11-18,285,106,4,1,10,30,5,31,2024-11-17 22:21:24,2024-11-18 06:14:24,2024-11-18 07:29:24,14.335139,74.356806,
59,FIR202600059,CASE202600059,2025-04-23,468,133,4,1,8,23,2,38,2025-04-22 14:14:26,2025-04-23 01:31:26,2025-04-23 03:14:26,15.91058,77.600282,
60,FIR202600060,CASE202600060,2026-07-06,27,6,4,1,2,6,3,2,2026-07-06 03:14:32,2026-07-06 07:31:32,2026-07-06 08:18:32,16.685706,77.098436,
61,FIR202600061,CASE202600061,2025-10-27,337,26,2,2,4,11,2,8,2025-10-27 07:26:53,2025-10-27 19:39:53,2025-10-27 19:52:53,15.427351,77.263704,
62,FIR202600062,CASE202600062,2025-08-28,121,128,4,2,1,1,4,40,2025-08-28 11:23:13,2025-08-28 19:20:13,2025-08-28 21:03:13,15.903235,77.614147,
63,FIR202600063,CASE202600063,2025-11-28,89,176,4,1,8,22,3,51,2025-11-28 10:54:01,2025-11-28 16:42:01,2025-11-28 17:36:01,11.654772,78.316155,
64,FIR202600064,CASE202600064,2026-03-22,332,36,2,1,8,22,3,11,2026-03-22 11:04:13,2026-03-22 18:35:13,2026-03-22 18:43:13,15.597128,77.757329,
65,FIR202600065,CASE202600065,2026-02-02,10,123,4,2,12,34,4,36,2026-02-02 07:05:50,2026-02-02 10:44:50,2026-02-02 11:57:50,15.096013,74.456917,
66,FIR202600066,CASE202600066,2025-01-04,386,166,1,1,2,6,4,49,2025-01-04 05:28:07,2025-01-04 09:23:07,2025-01-04 10:27:07,15.063779,74.872603,
67,FIR202600067,CASE202600067,2024-08-15,397,157,2,1,8,23,3,46,2024-08-15 07:56:29,2024-08-15 15:13:29,2024-08-15 16:54:29,12.571275,73.975744,
68,FIR202600068,CASE202600068,2025-03-07,466,94,1,2,12,36,1,27,2025-03-07 11:32:31,2025-03-07 17:46:31,2025-03-07 19:14:31,18.443275,76.985436,
69,FIR202600069,CASE202600069,2025-02-01,468,133,1,2,4,10,1,37,2025-02-01 02:31:34,2025-02-01 12:40:34,2025-02-01 13:15:34,15.909918,77.59279,
70,FIR202600070,CASE202600070,2024-12-22,331,152,2,1,8,24,3,46,2024-12-22 05:05:36,2024-12-22 11:15:36,2024-12-22 12:37:36,12.595155,74.056701,
71,FIR202600071,CASE202600071,2026-06-02,309,29,2,1,5,13,5,9,2026-06-02 13:13:17,2026-06-02 15:12:17,2026-06-02 15:56:17,15.662072,77.75074,
72,FIR202600072,CASE202600072,2026-04-16,283,52,4,2,12,34,1,15,2026-04-15 14:36:28,2026-04-16 01:20:28,2026-04-16 03:11:28,16.334509,75.577167,
73,FIR202600073,CASE202600073,2025-03-07,331,152,3,2,14,42,5,45,2025-03-06 22:08:17,2025-03-07 00:58:17,2025-03-07 02:15:17,12.558163,74.039303,
74,FIR202600074,CASE202600074,2025-11-07,315,72,3,1,2,6,3,20,2025-11-07 10:24:36,2025-11-07 12:18:36,2025-11-07 13:16:36,18.356352,77.952096,
75,FIR202600075,CASE202600075,2025-05-04,224,100,4,2,12,34,4,28,2025-05-04 05:57:22,2025-05-04 09:43:22,2025-05-04 10:54:22,17.396428,77.620364,
76,FIR202600076,CASE202600076,2026-05-13,130,174,4,1,8,23,5,51,2026-05-13 02:47:50,2026-05-13 08:07:50,2026-05-13 10:01:50,11.658626,78.245351,
77,FIR202600077,CASE202600077,2025-06-19,360,65,4,2,4,11,5,18,2025-06-18 19:07:31,2025-06-19 05:49:31,2025-06-19 06:42:31,11.988797,75.38017,
78,FIR202600078,CASE202600078,2025-01-30,348,125,2,1,8,22,3,38,2025-01-30 01:03:36,2025-01-30 06:24:36,2025-01-30 07:04:36,15.930101,77.662892,
79,FIR202600079,CASE202600079,2025-01-17,221,29,1,2,9,25,1,14,2025-01-16 21:26:38,2025-01-17 02:12:38,2025-01-17 03:09:38,15.654742,77.707669,
