CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,Latitude,Longitude,BriefFacts
1,FIR202600001,CASE202600001,2024-08-10,454,78,1,1,10,29,1,22,2024-08-10 05:21:12,2024-08-10 06:26:12,2024-08-10 06:58:12,15.921561,75.646712,"On 10th August 2024 at approximately 5:21 am, a complaint was filed at Davanagere Town Police Station by Amaira Maharaj regarding sexual harassment committed against her son Advik Maharaj and niece Aarini Dutta by their cousin Advik Maharaj and Aarini Dutta. The incident occurred at their residence in Davanagere"
2,FIR202600002,CASE202600002,2025-02-06,438,172,2,2,12,36,5,50,2025-02-06 08:33:15,2025-02-06 15:47:15,2025-02-06 16:49:15,18.171835,78.269224,"On 6th February 2025 at approximately 8:33 am, Vijayanagara North Police Station received a complaint from Aarush Dutta regarding illegal encroachment of his property by Chaaya Memon and Harinakshi Walla. The complainant alleged that the accused had constructed a structure on his land without proper authorization, causing damage to his property. Further investigation revealed"
3,FIR202600003,CASE202600003,2024-12-31,380,122,2,2,12,35,3,36,2024-12-31 00:31:56,2024-12-31 05:40:56,2024-12-31 06:12:56,15.004819,74.441718,"On 31st December 2024 at approximately 00:31 hours, a complaint was filed by Chaaya Memon, against Jagvi Tata, for vandalizing his property located in Mandya West Police Station jurisdiction, Mandya district. The accused is alleged to have intentionally damaged the complainant's property by spraying paint on the walls and doors, causing damage"
4,FIR202600004,CASE202600004,2026-01-05,57,14,3,2,14,41,5,7,2026-01-04 19:35:10,2026-01-05 01:26:10,2026-01-05 01:36:10,11.710515,74.497,"On 4th January 2026 at approximately 19:35:10 hours, a traffic crime occurred near Tilakwadi Police Station in Belagavi district. Frederick Walla, the complainant, reported that Chandani Batta and Gaurangi Setty were hit by a vehicle driven by Chakradev Batta, Farhan Setty, and Kashvi Bhardw"
5,FIR202600005,CASE202600005,2025-11-23,240,95,4,1,2,6,3,27,2025-11-22 18:02:31,2025-11-23 05:41:31,2025-11-23 07:39:31,18.4142,76.980182,"On 22nd November 2025 at approximately 18:02:31 hours, a chain snatching incident occurred at Hassan North Police Station in Hassan district. The complainant, Chandani Batta, reported that the accused, Liam Sunder, snatched her gold chain worth Rs 10,000 while she was walking on the street. The victim,"
6,FIR202600006,CASE202600006,2026-04-27,316,132,1,2,11,31,3,38,2026-04-27 00:01:13,2026-04-27 02:55:13,2026-04-27 03:29:13,15.920608,77.6343,"On 27th April 2026 at around 1:01 am, Farhan Setty filed a complaint at Hebbal Police Station in Mysuru district regarding money laundering committed by Darika Kothari and Xavier Srivastava. The complainant alleges that the accused had obtained Rs 50 lakhs from him through fraudulent means and then laundered the"
7,FIR202600007,CASE202600007,2024-09-24,426,87,3,2,3,8,3,23,2024-09-23 20:11:02,2024-09-24 00:53:02,2024-09-24 01:32:02,13.376384,78.294135,"On September 23, 2024 at approximately 8:11 PM, a cybercrime was reported to the Dharwad Central Police Station in the district of Dharwad, Karnataka. The complainant, Jagdish Bhardwaj, reported that his friend, Chatura Kothari, had fallen victim to a phishing scam after receiving an email from an unknown sender asking"
8,FIR202600008,CASE202600008,2025-05-23,233,90,2,2,9,27,2,25,2025-05-23 04:32:56,2025-05-23 08:01:56,2025-05-23 08:54:56,12.765578,77.375041,"On 23rd May 2025 at around 4:32 am, Yauvani Seth, the complainant, reported to Gadag West Police Station that her son Xavier Srivastava (Victim) has gone missing since yesterday evening. The Victim was last seen at his residence in the presence of his friend Shaurya Virk (Accused). An investigation revealed that"
9,FIR202600009,CASE202600009,2024-08-13,201,77,2,2,11,32,1,21,2024-08-13 16:07:07,2024-08-13 20:59:07,2024-08-13 21:08:07,18.369887,77.941459,"On 13th August 2024 at around 4:07 PM, Maya Sunder, a resident of Karkala, Dakshina Kannada district, lodged a complaint at Dakshina Kannada Rural Police Station against Yashica Lanka for committing tax fraud. According to the complainant, Yashica Lanka, the accused, who is a businessman"
10,FIR202600010,CASE202600010,2024-12-28,123,118,3,2,4,12,4,34,2024-12-27 17:27:44,2024-12-28 01:23:44,2024-12-28 02:50:44,14.473992,76.676455,"On 27th December 2024 at around 5:27 PM, a complaint was filed at Koppal West Police Station by Chatura Kothari regarding an investment scam committed by Laban Manda and Aarna Choudhury. The victims of the scam are Shaurya Virk and Yashica Lanka, who invested a substantial amount of money in a"
