CourtID,CourtCode,CourtName,CourtType,DistrictID,DistrictName,Latitude,Longitude,Active
1,CRT0001,"Principal District & Sessions Court, Bagalkote",Principal District & Sessions Court,1,Bagalkote,15.984354,74.08655,1
2,CRT0002,"Principal District & Sessions Court, Ballari",Principal District & Sessions Court,2,Ballari,16.6418,77.096211,1
3,CRT0003,"District Court, Ballari",District Court,2,Ballari,16.669486,77.12342,1
4,CRT0004,"JMFC Court, Ballari",JMFC Court,2,Ballari,16.678829,77.088034,1
5,CRT0005,"Principal District & Sessions Court, Belagavi",Principal District & Sessions Court,3,Belagavi,11.717794,74.402786,1
6,CRT0006,"District Court, Belagavi",District Court,3,Belagavi,11.705597,74.431319,1
7,CRT0007,"JMFC Court, Belagavi",JMFC Court,3,Belagavi,11.694071,74.412928,1
8,CRT0008,"Principal District & Sessions Court, Bengaluru Rural",Principal District & Sessions Court,4,Bengaluru Rural,15.437708,77.296386,1
9,CRT0009,"Principal District & Sessions Court, Bengaluru Urban",Principal District & Sessions Court,5,Bengaluru Urban,15.608086,77.728736,1
10,CRT0010,"District Court, Bengaluru Urban",District Court,5,Bengaluru Urban,15.643426,77.69377,1
11,CRT0011,"JMFC Court, Bengaluru Urban",JMFC Court,5,Bengaluru Urban,15.643209,77.735268,1
12,CRT0012,"Civil Judge Court, Bengaluru Urban",Civil Judge Court,5,Bengaluru Urban,15.615275,77.702709,1
13,CRT0013,"Family Court, Bengaluru Urban",Family Court,5,Bengaluru Urban,15.652293,77.713576,1
14,CRT0014,"Fast Track Court, Bengaluru Urban",Fast Track Court,5,Bengaluru Urban,15.600425,77.699183,1
15,CRT0015,"Principal District & Sessions Court, Bidar",Principal District & Sessions Court,6,Bidar,16.407826,75.571376,1
16,CRT0016,"Principal District & Sessions Court, Chamarajanagar",Principal District & Sessions Court,7,Chamarajanagar,12.2339,75.76145,1
17,CRT0017,"Principal District & Sessions Court, Chikkaballapur",Principal District & Sessions Court,8,Chikkaballapur,13.35382,74.228259,1
18,CRT0018,"Principal District & Sessions Court, Chikkamagaluru",Principal District & Sessions Court,9,Chikkamagaluru,12.044313,75.351742,1
19,CRT0019,"Principal District & Sessions Court, Chitradurga",Principal District & Sessions Court,10,Chitradurga,15.561229,77.248141,1
20,CRT0020,"Principal District & Sessions Court, Dakshina Kannada",Principal District & Sessions Court,11,Dakshina Kannada,18.418253,77.939103,1
21,CRT0021,"District Court, Dakshina Kannada",District Court,11,Dakshina Kannada,18.408825,77.907211,1
22,CRT0022,"Principal District & Sessions Court, Davanagere",Principal District & Sessions Court,12,Davanagere,15.933465,75.665591,1
23,CRT0023,"Principal District & Sessions Court, Dharwad",Principal District & Sessions Court,13,Dharwad,13.343633,78.292578,1
24,CRT0024,"District Court, Dharwad",District Court,13,Dharwad,13.344905,78.295289,1
25,CRT0025,"Principal District & Sessions Court, Gadag",Principal District & Sessions Court,14,Gadag,12.706112,77.345873,1
26,CRT0026,"Principal District & Sessions Court, Hassan",Principal District & Sessions Court,15,Hassan,18.418874,76.926569,1
27,CRT0027,"District Court, Hassan",District Court,15,Hassan,18.412682,76.970198,1
28,CRT0028,"Principal District & Sessions Court, Haveri",Principal District & Sessions Court,16,Haveri,17.408845,77.576148,1
29,CRT0029,"Principal District & Sessions Court, Kalaburagi",Principal District & Sessions Court,17,Kalaburagi,14.288422,74.318216,1
30,CRT0030,"District Court, Kalaburagi",District Court,17,Kalaburagi,14.287958,74.297235,1
31,CRT0031,"JMFC Court, Kalaburagi",JMFC Court,17,Kalaburagi,14.337525,74.312868,1
32,CRT0032,"Principal District & Sessions Court, Kodagu",Principal District & Sessions Court,18,Kodagu,12.991803,76.307541,1
33,CRT0033,"Principal District & Sessions Court, Kolar",Principal District & Sessions Court,19,Kolar,12.497983,77.443509,1
34,CRT0034,"Principal District & Sessions Court, Koppal",Principal District & Sessions Court,20,Koppal,14.48278,76.656177,1
35,CRT0035,"Principal District & Sessions Court, Mandya",Principal District & Sessions Court,21,Mandya,15.055611,74.404247,1
36,CRT0036,"District Court, Mandya",District Court,21,Mandya,15.049343,74.444758,1
37,CRT0037,"Principal District & Sessions Court, Mysuru",Principal District & Sessions Court,22,Mysuru,15.914704,77.632446,1
38,CRT0038,"District Court, Mysuru",District Court,22,Mysuru,15.901448,77.637303,1
39,CRT0039,"JMFC Court, Mysuru",JMFC Court,22,Mysuru,15.916995,77.641096,1
40,CRT0040,"Civil Judge Court, Mysuru",Civil Judge Court,22,Mysuru,15.878015,77.628363,1
41,CRT0041,"Principal District & Sessions Court, Raichur",Principal District & Sessions Court,23,Raichur,14.175017,78.567922,1
42,CRT0042,"Principal District & Sessions Court, Ramanagara",Principal District & Sessions Court,24,Ramanagara,17.530533,74.076682,1
43,CRT0043,"Principal District & Sessions Court, Shivamogga",Principal District & Sessions Court,25,Shivamogga,16.750109,77.518713,1
44,CRT0044,"District Court, Shivamogga",District Court,25,Shivamogga,16.785997,77.536126,1
45,CRT0045,"Principal District & Sessions Court, Tumakuru",Principal District & Sessions Court,26,Tumakuru,12.582559,73.987755,1
46,CRT0046,"District Court, Tumakuru",District Court,26,Tumakuru,12.583683,74.022575,1
47,CRT0047,"Principal District & Sessions Court, Udupi",Principal District & Sessions Court,27,Udupi,15.071297,74.48482,1
48,CRT0048,"District Court, Udupi",District Court,27,Udupi,15.027584,74.482387,1
49,CRT0049,"Principal District & Sessions Court, Uttara Kannada",Principal District & Sessions Court,28,Uttara Kannada,15.083407,74.916738,1
50,CRT0050,"Principal District & Sessions Court, Vijayanagara",Principal District & Sessions Court,29,Vijayanagara,18.202763,78.264844,1
51,CRT0051,"Principal District & Sessions Court, Vijayapura",Principal District & Sessions Court,30,Vijayapura,11.607026,78.287097,1
52,CRT0052,"Principal District & Sessions Court, Yadgir",Principal District & Sessions Court,31,Yadgir,17.65697,78.358185,1
