DistrictID,DistrictName,Zone,Latitude,Longitude,Population,AreaSqKm,UrbanRuralType,Active
1,Bagalkote,North,15.975988,74.115049,4914226,3618.3,Urban,1
2,Ballari,North,16.655298,77.112818,9449732,1865.02,Mixed,1
3,Belagavi,North,11.722479,74.430998,4203402,6509.44,Urban,1
4,Bengaluru Rural,South,15.428715,77.29369,9442600,5556.67,Mixed,1
5,Bengaluru Urban,South,15.62486,77.72338,409031,9322.76,Urban,1
6,Bidar,North,16.386976,75.565152,2908513,3289.98,Mixed,1
7,Chamarajanagar,South,12.215472,75.747666,6322674,10307.19,Rural,1
8,Chikkaballapur,South,13.351646,74.199872,8007870,6852.13,Mixed,1
9,Chikkamagaluru,Malnad,12.051601,75.34862,10846825,7765.57,Mixed,1
10,Chitradurga,Central,15.541465,77.24103,1068805,8240.02,Mixed,1
11,Dakshina Kannada,Coastal,18.396551,77.934462,1994522,5119.4,Mixed,1
12,Davanagere,Central,15.949791,75.678228,6510606,4843.5,Rural,1
13,Dharwad,North,13.368845,78.308611,11172229,1692.57,Rural,1
14,Gadag,North,12.697971,77.353983,3041438,6031.09,Mixed,1
15,Hassan,Malnad,18.426663,76.943999,9644066,3337.73,Mixed,1
16,Haveri,Central,17.399963,77.5696,4142788,10022.01,Mixed,1
17,Kalaburagi,North,14.308154,74.304468,9815702,10627.68,Mixed,1
18,Kodagu,Malnad,12.988386,76.296464,11085264,5993.26,Mixed,1
19,Kolar,South,12.477412,77.426949,9342538,3816.43,Rural,1
20,Koppal,North,14.499037,76.684251,6373292,3334.46,Urban,1
21,Mandya,South,15.066684,74.418183,1090481,10458.24,Urban,1
22,Mysuru,South,15.892122,77.643565,7382668,7520.14,Mixed,1
23,Raichur,North,14.171335,78.582158,9177065,3690.7,Rural,1
24,Ramanagara,South,17.525458,74.052813,2221859,8466.99,Rural,1
25,Shivamogga,Malnad,16.756145,77.535554,6007197,2138.23,Mixed,1
26,Tumakuru,Central,12.607104,74.014928,4718934,11687.96,Urban,1
27,Udupi,Coastal,15.053772,74.48949,10790796,4212.74,Rural,1
28,Uttara Kannada,Coastal,15.05364,74.914991,6573233,9363.87,Rural,1
29,Vijayanagara,Central,18.174498,78.243197,309594,7548.28,Mixed,1
30,Vijayapura,North,11.636337,78.273854,5459230,3557.92,Urban,1
31,Yadgir,North,17.646067,78.355967,1737026,9024.17,Urban,1
