UnitID,UnitCode,UnitName,DistrictID,DistrictName,UnitType,Latitude,Longitude,Active
1,UNIT0001,Bagalkote Town Police Station,1,Bagalkote,Urban,16.012051,74.155015,1
2,UNIT0002,Bagalkote East Police Station,1,Bagalkote,Urban,15.989771,74.09661,1
3,UNIT0003,Bagalkote West Police Station,1,Bagalkote,Urban,15.939207,74.135551,1
4,UNIT0004,Bagalkote North Police Station,1,Bagalkote,Urban,15.973628,74.12717,1
5,UNIT0005,Bagalkote South Police Station,1,Bagalkote,Urban,16.009274,74.089568,1
6,UNIT0006,Ballari Town Police Station,2,Ballari,Urban,16.662124,77.123601,1
7,UNIT0007,Ballari East Police Station,2,Ballari,Urban,16.654636,77.080117,1
8,UNIT0008,Ballari West Police Station,2,Ballari,Urban,16.643135,77.099483,1
9,UNIT0009,Ballari North Police Station,2,Ballari,Urban,16.668909,77.141437,1
10,UNIT0010,Ballari South Police Station,2,Ballari,Urban,16.641682,77.128312,1
11,UNIT0011,Ballari Central Police Station,2,Ballari,Urban,16.638355,77.148433,1
12,UNIT0012,Ballari Market Police Station,2,Ballari,Urban,16.680383,77.116826,1
13,UNIT0013,Camp Police Station,3,Belagavi,Urban,11.718865,74.416159,1
14,UNIT0014,Tilakwadi Police Station,3,Belagavi,Urban,11.708341,74.468613,1
15,UNIT0015,Market Police Station,3,Belagavi,Urban,11.714813,74.432166,1
16,UNIT0016,Shahapur Police Station,3,Belagavi,Urban,11.761529,74.443611,1
17,UNIT0017,Malmaruti Police Station,3,Belagavi,Urban,11.725886,74.424058,1
18,UNIT0018,Vadgaon Police Station,3,Belagavi,Urban,11.697486,74.41994,1
19,UNIT0019,APMC Police Station,3,Belagavi,Urban,11.742994,74.441031,1
20,UNIT0020,Fort Police Station,3,Belagavi,Urban,11.743278,74.407283,1
21,UNIT0021,Udyambag Police Station,3,Belagavi,Urban,11.726417,74.465212,1
22,UNIT0022,Angol Police Station,3,Belagavi,Urban,11.717528,74.446858,1
23,UNIT0023,Bengaluru Rural Town Police Station,4,Bengaluru Rural,Rural,15.398429,77.331542,1
24,UNIT0024,Bengaluru Rural East Police Station,4,Bengaluru Rural,Rural,15.437425,77.272834,1
25,UNIT0025,Bengaluru Rural West Police Station,4,Bengaluru Rural,Rural,15.401385,77.297757,1
26,UNIT0026,Bengaluru Rural North Police Station,4,Bengaluru Rural,Rural,15.432895,77.261147,1
27,UNIT0027,Ashok Nagar Police Station,5,Bengaluru Urban,Urban,15.664241,77.756414,1
28,UNIT0028,Cubbon Park Police Station,5,Bengaluru Urban,Urban,15.621776,77.692777,1
29,UNIT0029,Whitefield Police Station,5,Bengaluru Urban,Urban,15.651431,77.72325,1
30,UNIT0030,Hebbal Police Station,5,Bengaluru Urban,Urban,15.642188,77.72409,1
31,UNIT0031,Jayanagar Police Station,5,Bengaluru Urban,Urban,15.606734,77.750158,1
32,UNIT0032,Basavanagudi Police Station,5,Bengaluru Urban,Urban,15.66328,77.702878,1
